Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,1986,FH.sole,403342.0654,36389.91175,2.14E-06
bts_bootstrap,absolute,1987,FH.sole,446821.8823,42902.27897,2.14E-06
bts_bootstrap,absolute,1988,FH.sole,631250.0878,55892.65166,2.14E-06
bts_bootstrap,absolute,1989,FH.sole,591359.254,50980.10038,2.14E-06
bts_bootstrap,absolute,1990,FH.sole,673351.0792,61351.44122,2.14E-06
bts_bootstrap,absolute,1991,FH.sole,606590.1951,48561.84511,2.14E-06
bts_bootstrap,absolute,1992,FH.sole,706812.3903,75157.55807,2.14E-06
bts_bootstrap,absolute,1993,FH.sole,689476.4585,50542.78109,2.14E-06
bts_bootstrap,absolute,1994,FH.sole,778058.0483,55558.86022,2.14E-06
bts_bootstrap,absolute,1995,FH.sole,679047.256,60646.3002,2.14E-06
bts_bootstrap,absolute,1996,FH.sole,708513.3398,64705.3703,2.14E-06
bts_bootstrap,absolute,1997,FH.sole,896919.2268,191712.7716,2.14E-06
bts_bootstrap,absolute,1998,FH.sole,792081.5914,163441.5278,2.14E-06
bts_bootstrap,absolute,1999,FH.sole,455482.8392,40249.94782,2.14E-06
bts_bootstrap,absolute,2000,FH.sole,453536.1553,39759.68873,2.14E-06
bts_bootstrap,absolute,2001,FH.sole,590785.7379,63021.86948,2.14E-06
bts_bootstrap,absolute,2002,FH.sole,642449.3551,114040.083,2.14E-06
bts_bootstrap,absolute,2003,FH.sole,601135.1931,62944.0102,2.14E-06
bts_bootstrap,absolute,2004,FH.sole,711451.4872,61203.03347,2.14E-06
bts_bootstrap,absolute,2005,FH.sole,709743.165,61040.13641,2.14E-06
bts_bootstrap,absolute,2006,FH.sole,729226.9837,64419.35232,2.14E-06
bts_bootstrap,absolute,2007,FH.sole,648024.3451,59705.60645,2.14E-06
bts_bootstrap,absolute,2008,FH.sole,627827.2518,89867.60592,2.14E-06
bts_bootstrap,absolute,2009,FH.sole,483603.7616,56822.29448,2.14E-06
bts_bootstrap,absolute,2010,FH.sole,573590.8459,86335.44688,2.14E-06
bts_bootstrap,absolute,2011,FH.sole,676132.6577,126104.7055,2.14E-06
bts_bootstrap,absolute,2012,FH.sole,439636.6266,51047.89614,2.14E-06
bts_bootstrap,absolute,2013,FH.sole,570170.3421,97954.5983,2.14E-06
bts_bootstrap,absolute,2014,FH.sole,599085.4962,80179.19763,2.14E-06
